card_no,slug,visible,association,cluster,cluster_title,section_no,card_order,connect_to,type,width,title,kicker,body,metric_value,metric_label,quote,caption,image_src,link_label,link_url,map_lat,map_lng,map_address,timeline_30,timeline_60,timeline_90,tags,notes
001,trz-self-custody,show,trezor,trezor-core,,0,1,,text-image-ext,320,Self-custody must become understandable,Trezor need,"The product has to help users understand what they control, what they risk, and what they must verify.",,,,,t_cardimage_1.png,,,,,,,,,self-custody|wallet|security|mental-model,Inner ring
002,trz-security-ux,show,trezor,trezor-core,,0,2,,text-image-ext,320,Security is part of UX,Trezor need,"In wallet products, unclear UX can become a security failure. Clarity, confirmation, and recovery are part of the protection model.",,,,,t_cardimage_6.png,,,,,,,,,security|ux|trust|wallet,Inner ring
003,trz-suite-trust-surface,show,trezor,trezor-core,,0,4,,text-image-ext,320,Trezor Suite is the trust surface,Product context,"Hardware creates the root of trust; software shapes daily confidence, comprehension, portfolio visibility, and safe action.",,,,,t_cardimage_7.png,,,,,,,,,trezor-suite|hardware-software|trust|product-surface,Inner ring
004,trz-wallet-edge-cases,show,trezor,trezor-core,,0,5,,text,320,Wallet flows must handle edge cases,Product context,"Sending, receiving, fees, networks, confirmation, errors, and recovery all need deliberate flow logic, not screen-level design only.",,,,,,,,,,,,,,wallet|edge-cases|flows|transactions,Inner ring
005,trz-multichain-complexity,show,trezor,trezor-core,,0,6,,text,320,Multi-chain complexity needs structure,Product context,"Assets, accounts, networks, fees, portfolio views, and transaction states must stay legible across desktop and mobile.",,,,,,,,,,,,,,multi-chain|portfolio|transactions|information-architecture,Inner ring
006,trz-ai-workflow,show,trezor,trezor-ai,,0,18,,quote,320,AI as daily workflow,Role signal,,,,"Use AI tools daily as a thought partner, research aid, and prototyping accelerator.",From the role description.,,,,,,,,,,ai-native|workflow|research|prototype,Inner ring quote
007,trz-functional-prototypes,show,trezor,trezor-ai,,0,17,,quote,320,"Functional prototypes, not only Figma",Role signal,,,,"Turn an idea into a working prototype, not just a Figma file.",From the role description.,,,,,,,,,,ai-native|prototype|build,Inner ring quote
008,trz-systems-thinking,show,trezor,trezor-craft,,0,12,,text,320,Systems thinking over screen thinking,Role signal,"The role requires flows, patterns, states, tokens, and component logic that scale across the product, not isolated screens.",,,,,,,,,,,,,,systems-thinking|design-system|flows|components,Inner ring
009,trz-ui-craft,show,trezor,trezor-craft,,0,14,,quote,320,Taste still matters,Role signal,,,,"When AI makes everything good enough, your taste is what makes it great.",From the role description.,,,,,,,,,,ui-craft|taste|typography|quality-bar,Inner ring quote
010,trz-clear-collaboration,show,trezor,trezor-craft,,0,15,,text-image-ext,320,"Clear collaboration with PM, engineering, and security",Role signal,"The designer must explain rationale, navigate trade-offs, and document decisions clearly in English with cross-functional partners.",,,,,t_cardimage_4.png,,,,,,,,,collaboration|communication|documentation|security,Inner ring
011,ds-terra-wallet,show,ds,ds-wallet-crypto,Wallet and crypto,2,1,001|004|047|049|051,metric,320,Terra Classic wallet UX,Relevant proof,Designed desktop-focused wallet UX in a live crypto ecosystem and contributed to a top-3 wallet growth result.,+35%,users for a top-3 Terra Classic wallet,,Proof of wallet-domain UX in a real Web3 context.,,,,,,,,,,wallet|ux|self-custody|terra-classic|growth,Outer ring
012,ds-validator-ops,show,ds,ds-wallet-crypto,Wallet and crypto,2,2,001|049|051|052|053,text,320,Validator operations with skin in the game,Crypto-native proof,"Operated the CHALLENGE LUNC validator and learned delegator communication, staking dynamics, commissions, and operational reality first-hand.",,,,,,,,,,,,,,validator|staking|delegation|operations|crypto-native,Outer ring
013,ds-bigbang-cex,show,ds,ds-wallet-crypto,Wallet and crypto,2,6,001|004|005|047|049|050|051|052|054,text-image-ext,320,BigBang CEX designed from scratch,Relevant proof,"Designed onboarding, KYC, trading flows, and order-book UX from zero prior CEX experience while learning wallet and trading mechanics in depth.",,,,,ds_cardimage_7.png,,,,,,,,,cex|trading|kyc|onboarding|wallet-mechanics,Outer ring
014,ds-prov-ratings,show,ds,ds-wallet-crypto,Wallet and crypto,2,4,001|005|047|050|054,text-image-ext,320,PROV validator ratings platform,Relevant proof,"Designed rating logic and UX for a PoS validator comparison product focused on trust, comparability, and decision support for delegators.",,,,,ds_cardimage_8.png,,,,,,,,,validators|proof-of-stake|ratings|trust|ux,Outer ring
015,ds-trading-automation,show,ds,ds-wallet-crypto,Wallet and crypto,2,5,004|049|051|054,text,320,Trading automation and trader UX literacy,Crypto-native proof,"Designed and used automated trading systems, learning how risk, transparency, exposure, and execution shape trust in financial products.",,,,,,,,,,,,,,trading|automation|risk|execution|trust,Outer ring
016,ds-terra-governance,show,ds,ds-wallet-crypto,Wallet and crypto,2,3,010|049|053,text,320,Governance and ecosystem coordination,Crypto-native proof,"Worked inside Terra Classic governance and coordinated multi-stakeholder discussions on mission, roadmap, validator standards, and ecosystem clarity.",,,,,,,,,,,,,,governance|ecosystem|coordination|community|crypto-native,Outer ring
017,ds-find-ai,show,ds,ds-ai-native,AI-native proof,11,2,006|007|054,text-image-ext,320,Find AI canvas foundation,AI-native proof,"Built and adapted an existing AI-native canvas system that combines premium UI, spatial navigation, and fast prototyping logic.",,,,,ds_cardimage_11.png,,,,,,,,,ai-native|canvas|prototype|product-system,Outer ring
018,ds-case-for-fit-prototype,show,ds,ds-ai-native,AI-native proof,11,4,006|007|047,text,320,This artifact is itself the proof,Prototype proof,"The site demonstrates the expected behavior directly: study the role, map the complexity, and ship a working prototype before the conversation.",,,,,,,,,,,,,,prototype|interview-artifact|ai-native|evidence-map,Outer ring
019,ds-codex-workflow,show,ds,ds-ai-native,AI-native proof,11,3,006|048,text,320,"Codex as build partner, not gimmick",AI-native proof,"Use ChatGPT Codex and related tools across concepting, structuring, implementation, and iteration to reduce time from idea to working artifact.",,,,,,,,,,,,,,codex|ai-assisted-development|workflow|build,Outer ring
020,ds-web3-cities,show,ds,ds-ai-native,AI-native proof,11,1,005|006|007|009|050|054,text-image-ext,320,Web3 Cities product concept,AI-native proof,"Created an interactive market-data concept that translates crypto activity into explorable 3D cities, combining product invention, interface design, and AI-assisted build execution.",,,,,ds_cardimage_12.png,,,,,,,,,web3-cities|product-concept|creative-technology|ai-assisted,Outer ring
021,ds-hyperliquid-bot,show,ds,ds-ai-native,AI-native proof,11,5,006|007|049|051|054,text,320,AI-powered DEX futures bot,AI-native proof,"Built a Mac desktop app around Hyperliquid perps, personal trading logic, and ChatGPT as AI trader, with UX centered on risk controls and transparency.",,,,,,,,,,,,,,hyperliquid|bot|desktop-app|risk-controls|ai-trader,Outer ring
022,ds-web3cities-link,show,ds,ds-ai-native,AI-native proof,11,8,006|007|048,link,320,Web3 Cities by Dawid Skinder,Proof surface,Code-facing proof that the work is moving beyond static files into AI-assisted build and prototype territory.,,,,,,Web3 Cities by Dawid Skinder,https://web3cities.dawidskinder.pl,,,,,,,github|prototype|build|public-proof,Outer ring link
023,ds-usdyb-docs,show,ds,ds-security-risk,Security and risk,1,1,002|047|049|052|054,text-image-ext,320,USDyb documentation and narrative,Security-sensitive proof,"Led technical documentation, product narrative, and investor deck for a decentralised yield-bearing stablecoin where trust, mechanism clarity, and risk communication are central.",,,,,ds_cardimage_10.png,,,,,,,,,usdyb|stablecoin|documentation|risk|trust,Outer ring
024,ds-juris-protocol,show,ds,ds-security-risk,Security and risk,1,2,002|003|047|049|050|052,text-image-ext,320,Juris Protocol: DeFi and legal UX,Security-sensitive proof,"Led end-to-end brand and product UX for a DeFi lending protocol with legal and compliance sensitivity, balancing trust, clarity, and seriousness.",,,,,ds_cardimage_9.png,,,,,,,,,juris|defi|legal|compliance|trust,Outer ring
025,ds-stablecoin-lessons,show,ds,ds-security-risk,Security and risk,1,3,002|049|051|052,text,320,Post-collapse stablecoin literacy,Risk signal,"First-hand Terra collapse exposure created a durable instinct for conservative communication, visible risk framing, and rebuilding trust after failure.",,,,,,,,,,,,,,stablecoin|trust-repair|terra|risk|communication,Outer ring
026,ds-risk-communication,show,ds,ds-security-risk,Security and risk,1,4,002|003|049|052,text,320,Risk communication as product work,Relevant proof,"Across stablecoins, trading tools, and DeFi products, turn mechanism risk into understandable interfaces, copy, documentation, and decision support.",,,,,,,,,,,,,,risk-communication|ux-writing|documentation|trust,Outer ring
027,ds-clarity-is-security,show,ds,ds-security-risk,Security and risk,1,5,001|002|052,quote,320,Clarity is security,Operating principle,,,,"In security-sensitive products, confusion is not a cosmetic problem. It is part of the risk surface.","Distilled from wallet, stablecoin, and trading-product work.",,,,,,,,,,security|clarity|principle|ux,Outer ring quote
028,ds-terra-ui-kit,show,ds,ds-systems-craft,Systems and craft,3,1,005|008|048,text,320,Terra Classic UI Kit,Systems proof,Designed and released a free Figma UI kit to standardize wallet and dApp UX across the ecosystem and reduce friction for builders.,,,,,,,,,,,,,,ui-kit|design-system|ecosystem|components,Outer ring
029,ds-design-systems,show,ds,ds-systems-craft,Systems and craft,3,2,003|005|008|048,text,320,Design systems and component libraries,Systems proof,"Own design-system thinking across products: patterns, component consistency, documentation, and cross-team quality control.",,,,,,,,,,,,,,design-system|components|documentation|consistency,Outer ring
030,ds-challenge-studio,show,ds,ds-systems-craft,Systems and craft,3,3,003|009|047|048|050,text-image-ext,320,CHALLENGE Studio operating system,Leadership proof,"Built and led an award-winning branding and product/UX agency, managing cross-functional teams up to 15 and long-running product programs.",,,,,ds_cardimage_5.png,,,,,,,,,leadership|studio|operating-model|cross-functional,Outer ring
031,ds-complex-flows,show,ds,ds-systems-craft,Systems and craft,3,4,004|008|047|050,text,320,Complex-flow UX across Web2 and Web3,Relevant proof,"Repeatedly designed high-friction flows: onboarding, KYC, trading, staking, configuration, governance, and high-value transactions.",,,,,,,,,,,,,,complex-flows|onboarding|kyc|staking|governance,Outer ring
032,ds-product-leadership,show,ds,ds-systems-craft,Systems and craft,3,5,008|047|050,text,320,Senior but still hands-on in product,Leadership proof,"Operate across problem definition, direction-setting, UX architecture, documentation, prototype creation, and delivery rather than waiting for specs.",,,,,,,,,,,,,,product-leadership|hands-on|end-to-end|ownership,Outer ring
033,ds-dre-configurator,show,ds,ds-complex-products,Complex products,6,1,004|008|047|050|054,metric,320,DRE configurator,Complex-product proof,"Designed UX for a complex industrial configurator where clarity, high-stakes choices, and business logic had to work together.",46k,product configurations with ROI in 3 months,,Proof of structured UX for risk-heavy choices.,,,,,,,,,,configurator|complex-ux|business-logic|roi,Outer ring
034,ds-hamilton-may,show,ds,ds-complex-products,Complex products,6,2,009|050|054,metric,320,Hamilton May,Commercial proof,Brand and UX work improved comprehension and conversion in a high-consideration real-estate product.,+47%,"users, plus 2× leads",,Proof that clarity and craft can move growth metrics.,,,,,,,,,,growth|ux|brand|real-estate|conversion,Outer ring
035,ds-lamania,show,ds,ds-complex-products,Complex products,6,3,009|050|054,metric,320,LaMania,Commercial proof,Redesigned brand and e-commerce experience to turn stronger narrative and UX into measurable commercial impact.,+615%,online sales,,Proof that design quality can translate into revenue.,,,,,,,,,,ecommerce|growth|brand|ux|sales,Outer ring
036,ds-70-awards,show,ds,ds-complex-products,Complex products,6,4,009,metric,320,Awarded creative quality,Craft proof,"Recognition across Behance, Awwwards, CSSWinner, Adweek, and other platforms shows sustained standards rather than a single lucky project.",70+,awarded works,,External validation of visual and interaction craft.,,,,,,,,,,awards|craft|recognition|quality,Outer ring
037,ds-150-projects,show,ds,ds-complex-products,Complex products,6,6,008|047|050,metric,320,Delivery at scale,Execution proof,"The studio delivered a large volume of work across tech, fintech, Web3, and global brands without abandoning quality or accountability.",150+,projects delivered,,"Proof of repeatable execution, not isolated brilliance.",,,,,,,,,,scale|delivery|execution|agency,Outer ring
038,ds-token2049,show,ds,ds-public-web3,Public Web3 proof,7,1,007|009|053,metric,320,TOKEN2049 Origins / AlphaTON,Public Web3 signal,"Hackathon result that validated product framing, UX, and narrative under high pressure in a globally visible crypto environment.",2nd,place in AlphaTON challenge,,"Proof of public performance, speed, and product-storytelling ability.",,,,,,,,,,token2049|hackathon|public-proof|speed,Outer ring
039,ds-interchain-summit,show,ds,ds-public-web3,Public Web3 proof,7,2,010|053,text-image-ext,320,Interchain Summit,Public Web3 signal,Represented Juris Protocol in product and narrative conversations with builders and investors in a cross-chain DeFi context.,,,,,ds_cardimage_3.png,,,,,,,,,interchain|juris|public-speaking|ecosystem,Outer ring
040,ds-eth-warsaw,show,ds,ds-public-web3,Public Web3 proof,7,3,010|053,text-image-ext,320,ETH Warsaw,Public Web3 signal,"Presented Terra Classic rebuilding story and used the event to test messaging, refine narrative, and engage DeFi-focused audiences.",,,,,ds_cardimage_2.png,,,,,,,,,eth-warsaw|presentation|web3|narrative,Outer ring
041,ds-public-speaking,show,ds,ds-public-web3,Public Web3 proof,7,4,010|053,text-image-ext,320,Comfortable representing products in public,Public Web3 signal,"Operate confidently in talks, panels, workshops, community calls, and partner conversations when clarity and conviction matter.",,,,,ds_cardimage_4.png,,,,,,,,,public-speaking|representation|communication|founder-support,Outer ring
042,ds-prague-poland-fit,show,ds,ds-practical-fit,Practical fit,8,1,010,map,320,"Only 5 hours drive to the SatoshiLabs Office from Tarnowskie Góry, Silesia, Poland",Practical fit,"Based in Poland and open to travel, making office visits and workshops in Prague realistic rather than theoretical.",,,,"Only 5 hours drive to the SatoshiLabs Office from Tarnowskie Góry, Silesia, Poland",,,,50.11432588966449,14.481933249169707,"SatoshiLabs Group a.s., Kundratka 2359/17a, 18000 Prague 8, Czech Republic",,,,prague|poland|travel|practical-fit,Outer ring map
043,ds-eu-timezone,show,ds,ds-practical-fit,Practical fit,8,2,010,badge,185,CET / EU timezone,Practical fit,Poland / CET. Comfortable overlapping 4–6 hours with US ET/PT when needed.,,,,,,,,,,,,,,timezone|cet|remote|availability,Outer ring badge
044,ds-remote-collaboration,show,ds,ds-practical-fit,Practical fit,8,3,010,text,320,Remote and hybrid collaboration maturity,Practical fit,"Used to working remotely across design, engineering, product, documentation, and community stakeholders with asynchronous discipline.",,,,,,,,,,,,,,remote|hybrid|collaboration|cross-functional,Outer ring
045,ds-senior-hands-on,show,ds,ds-practical-fit,Practical fit,8,4,010|047|050,badge,185,"Senior, but still hands-on",Practical fit,"Comfortable owning direction while still writing, prototyping, documenting, and testing the work directly.",,,,,,,,,,,,,,senior|hands-on|ownership|execution,Outer ring badge
046,ds-30-60-90,show,ds,ds-contribution-plan,Contribution plan,9,1,010|047|054,timeline,1008,First contribution hypothesis,30 / 60 / 90,"A practical onboarding-to-impact plan focused on learning the wallet domain quickly, prototyping with judgment, and shipping reusable improvements.",,,,,,,,,,,Learn Trezor Suite deeply | Map key wallet-domain flows | Review existing design-system patterns | Identify friction and risk moments,"Prototype 1–2 high-impact wallet improvements | Test alternative flows | Document UX/security rationale | Work closely with PM, engineering, and security",Prepare production-ready improvements | Improve reusable patterns | Establish AI-assisted prototyping loop | Turn ambiguity into testable product artifacts,30-60-90|contribution|roadmap|collaboration,Outer ring wide timeline
047,trz-end-to-end-wallet-design,show,trezor,trezor-job,,0,10,,text,320,Own end-to-end wallet feature design,What’s the job?,"Own design from problem definition through research, design, prototyping, and delivery inside the Wallet domain.",,,,,,,,,,,,,,wallet|end-to-end|ownership|delivery|research|prototype,Job offer item: What’s the job?
048,trz-design-system-quality-bar,show,trezor,trezor-job,,0,13,,text,320,Design system contribution and quality bar,What’s the job?,"Contribute to and consume the design system, keeping consistency while pushing product quality higher.",,,,,,,,,,,,,,design-system|components|quality-bar|consistency,Job offer item: What’s the job?
049,trz-crypto-domain-decisions,show,trezor,trezor-job,,0,7,,text,320,Crypto domain knowledge in every design decision,What’s the job?,Bring crypto domain knowledge to design decisions and understand the real implications of building for people’s assets.,,,,,,,,,,,,,,crypto|domain-knowledge|assets|decision-making|wallet,Job offer item: What’s the job?
050,trz-complex-product-portfolio,show,trezor,trezor-about,,0,11,,text-image-ext,320,Complex product portfolio across desktop and mobile,About you,3–7 years of product design experience with end-to-end work on complex digital products across desktop and mobile.,,,,,t_cardimage_2.png,,,,,,,,,product-design|portfolio|complex-products|desktop|mobile,Job offer item: About you
051,trz-crypto-user-knowledge,show,trezor,trezor-about,,0,8,,text-image-ext,320,Crypto user knowledge beyond buzzwords,About you,"Understand self-custody, seed phrases, private keys, multi-chain wallets, DeFi concepts, and ideally use crypto personally.",,,,,t_cardimage_5.png,,,,,,,,,self-custody|seed-phrases|private-keys|defi|crypto-user,Job offer item: About you
052,trz-security-sensitive-products,show,trezor,trezor-strong-signals,,0,3,,text,320,Security-sensitive product experience,Strong signal,"Experience designing for security-sensitive products such as fintech, banking, crypto, or identity.",,,,,,,,,,,,,,security-sensitive|fintech|crypto|identity|risk,Job offer item: Strong signals
053,trz-active-crypto-community,show,trezor,trezor-strong-signals,,0,9,,text-image-ext,320,Active crypto community participation,Strong signal,"Personal projects, DAOs, open-source contributions, events, or other active participation in crypto communities.",,,,,t_cardimage_3.png,,,,,,,,,crypto-community|events|dao|open-source|personal-projects,Job offer item: Strong signals
054,trz-user-research-experimentation,show,trezor,trezor-strong-signals,,0,16,,text,320,User research and experimentation literacy,Strong signal,"Experience with qualitative and quantitative user research and familiarity with experimentation, A/B testing, and feature flags.",,,,,,,,,,,,,,user-research|experimentation|ab-testing|feature-flags|qualitative|quantitative,Job offer item: Strong signals
055,ds-terra-classic-ecosystem-flagship,show,ds,ds-wallet-crypto,Wallet and crypto,2,7,001|010|048|049|051|053,text-image-ext,320,Terra Classic ecosystem,Flagship highlight,"Rebrand concepts, free UI kit, governance-selected community site, validator operations, and +35% users for a top-3 wallet.",,,,,ds_cardimage_6.png,,,,,,,,,terra-classic|ecosystem|wallet|validator|governance|ui-kit,CV Flagship Highlights
056,ds-terra-classic-state-report,show,ds,ds-core-strong-horizontals,Strong horizontals,5,7,010|049|052|054,text,320,Terra Classic Four Years After report,Flagship highlight,"Large-scale evidence-structured ecosystem analysis covering protocol health, governance, treasury, adoption, legal risk, and strategic position.",,,,,,,,,,,,,,terra-classic|report|research|governance|technical-communication|risk,CV Flagship Highlights
057,ds-design-leadership-operating-model,show,ds,ds-core-deep-mastery,Deep vertical mastery,4,1,008|010|047|048|050,text,320,Design leadership and operating model,Core mastery,"Built hiring loops, onboarding, mentorship cadence, critique rituals, quality standards, component governance, and cross-team consistency.",,,,,,,,,,,,,,design-leadership|operating-model|design-ops|quality-standards|team-systems,CV Core Capabilities & Domains: Deep vertical
058,ds-brand-strategy-architecture,show,ds,ds-core-deep-mastery,Deep vertical mastery,4,2,009|049|050,text,320,Brand strategy and architecture,Core mastery,"Positioning, narrative framing, naming, and ecosystem-level brand systems for L1/L2 and multi-product environments.",,,,,,,,,,,,,,brand-strategy|architecture|positioning|ecosystem-brand|narrative,CV Core Capabilities & Domains: Deep vertical
059,ds-product-strategy,show,ds,ds-core-deep-mastery,Deep vertical mastery,4,3,047|049|050,text,320,Product strategy,Core mastery,"Translate business and tokenomics goals into product features and UX, then prioritize first versions and next iterations.",,,,,,,,,,,,,,product-strategy|tokenomics|prioritization|features|ux,CV Core Capabilities & Domains: Deep vertical
060,ds-product-ux-ui-design,show,ds,ds-core-deep-mastery,Deep vertical mastery,4,4,004|005|008|009|047|050,text,320,"Product, UX and UI design for digital products",Core mastery,"Complex flows, design systems, component libraries, web, app, dashboards, responsive design, onboarding, trading, staking, and configuration UX.",,,,,,,,,,,,,,product-design|ux|ui|complex-flows|dashboards|responsive-design,CV Core Capabilities & Domains: Deep vertical
061,ds-ai-native-product-creation,show,ds,ds-core-deep-mastery,Deep vertical mastery,4,5,006|007|054,text,320,AI-native product creation,Core mastery,"Use AI across concept development, product thinking, content, prototyping, documentation, web/app experiments, and selected builds.",,,,,,,,,,,,,,ai-native|prototyping|documentation|experimentation|build,CV Core Capabilities & Domains: Deep vertical
062,ds-creative-direction-art-direction,show,ds,ds-core-deep-mastery,Deep vertical mastery,4,6,009|050,text,320,Creative direction and art direction,Core mastery,"Visual language, motion direction, photography and 3D mood, and coherent execution across touchpoints, vendors, and teams.",,,,,,,,,,,,,,creative-direction|art-direction|visual-language|motion|quality,CV Core Capabilities & Domains: Deep vertical
063,ds-content-narrative,show,ds,ds-core-strong-horizontals,Strong horizontals,5,1,010|049|052,text,320,Content and narrative,Strong horizontal,"Technical communication, product explanation, strategic writing, documentation, reports, decks, UX content, and narrative logic.",,,,,,,,,,,,,,content|narrative|technical-writing|documentation|ux-copy,CV Core Capabilities & Domains: Strong horizontals
064,ds-sales-client-management,show,ds,ds-core-strong-horizontals,Strong horizontals,5,2,010|050,text,320,Sales and client management,Strong horizontal,"10+ years closing and delivering B2B design engagements with practical understanding of procurement, expectations, and client-side risk.",,,,,,,,,,,,,,sales|client-management|b2b|delivery|risk,CV Core Capabilities & Domains: Strong horizontals
065,ds-operations-finance,show,ds,ds-core-strong-horizontals,Strong horizontals,5,3,010|047|050,text,320,Operations and finance,Strong horizontal,"Budgeting, invoicing, cash-flow planning, ROI thinking, and cost-benefit trade-off judgment from running a studio.",,,,,,,,,,,,,,operations|finance|roi|budgeting|studio-management,CV Core Capabilities & Domains: Strong horizontals
066,ds-trading-automation-capability,show,ds,ds-core-strong-horizontals,Strong horizontals,5,4,049|051|054,text,320,Trading and automation,Strong horizontal,"Trader and automated strategy user/builder experience with trader psychology, execution logic, transparency, and risk controls.",,,,,,,,,,,,,,trading|automation|risk-controls|trader-ux|hyperliquid,CV Core Capabilities & Domains: Strong horizontals
067,ds-training-facilitation,show,ds,ds-core-strong-horizontals,Strong horizontals,5,5,010|053,text,320,Training and facilitation,Strong horizontal,"Designed and led workshops for branding, UX, product discovery, ecosystem work, and public AI/design sessions.",,,,,,,,,,,,,,training|facilitation|workshops|product-discovery|brand-discovery,CV Core Capabilities & Domains: Strong horizontals
068,ds-public-speaking-networking,show,ds,ds-core-strong-horizontals,Strong horizontals,5,6,010|053,text,320,Public speaking and networking,Strong horizontal,"Comfortable on stage, in panels, and in Web3 ecosystems through TOKEN2049, Interchain Summit, ETH Warsaw, and other events.",,,,,,,,,,,,,,public-speaking|networking|events|web3-community|communication,CV Core Capabilities & Domains: Strong horizontals
069,ds-award-token2049-origins,show,ds,ds-awards-recognition,Awards and recognition,10,1,009|053,metric,320,TOKEN2049 Origins Hackathon,,,2nd,place in AlphaTON challenge,,Awards & Recognition,,,,,,,,,,award|token2049|alphaton|hackathon|web3,CV IX. Awards & Recognition
070,ds-award-digital-ars,show,ds,ds-awards-recognition,Awards and recognition,10,2,006|007|009,metric,320,Digital Ars 2023/24,,,3rd,place in No Code category for PANiRAMA,,Awards & Recognition,,,,,,,,,,award|digital-ars|no-code|ai|prototype,CV IX. Awards & Recognition
071,ds-award-behance,show,ds,ds-awards-recognition,Awards and recognition,10,3,009,metric,320,Behance curated galleries,,,24x,featured in curated galleries,,Awards & Recognition,,,,,,,,,,award|behance|creative-quality|portfolio,CV IX. Awards & Recognition
072,ds-award-csswinner-cssreel,show,ds,ds-awards-recognition,Awards and recognition,10,4,009,metric,320,CSSWinner / CSSReel,,,29x,website of the day,,Awards & Recognition,,,,,,,,,,award|csswinner|cssreel|web-design|ui-craft,CV IX. Awards & Recognition
073,ds-award-awwwards,show,ds,ds-awards-recognition,Awards and recognition,10,5,009,metric,320,Awwwards,,,13x,honorable mention,,Awards & Recognition,,,,,,,,,,award|awwwards|web-design|ui-craft,CV IX. Awards & Recognition
074,ds-award-fromupnorth,show,ds,ds-awards-recognition,Awards and recognition,10,6,009,metric,320,FromUpNorth,,,5x,featured,,Awards & Recognition,,,,,,,,,,award|fromupnorth|visual-design|creative-quality,CV IX. Awards & Recognition
075,ds-award-adweek,show,ds,ds-awards-recognition,Awards and recognition,10,7,009,metric,320,Adweek talent gallery,,,2x,featured in talent gallery,,Awards & Recognition,,,,,,,,,,award|adweek|creative-quality|talent-gallery,CV IX. Awards & Recognition
076,ds-award-packaging-of-the-world,show,ds,ds-awards-recognition,Awards and recognition,10,8,009,metric,320,Packaging Of The World,,,2x,featured in packaging gallery,,Awards & Recognition,,,,,,,,,,award|packaging|visual-design|brand-design,CV IX. Awards & Recognition
077,ds-award-repl,show,ds,ds-awards-recognition,Awards and recognition,10,9,009,metric,320,RE:PL Polish rebranding competition,,,Top 10,Polish rebranding of the year 2017,,Awards & Recognition,,,,,,,,,,award|rebranding|brand-strategy|visual-design,CV IX. Awards & Recognition
078,ds-award-token-big,show,ds,ds-awards-recognition,Awards and recognition,10,10,009,big-image,664,,,,,,,TOKEN2049 Origins Hackathon Certificate,ds_cardimage_big_1.png,,,,,,,,,,
079,ds-findai-link,show,ds,ds-ai-native,AI-native proof,11,7,006|007|048,link,320,FindAI by Dawid Skinder,Proof surface,Code-facing proof that the work is moving beyond static files into AI-assisted build and prototype territory.,,,,,,FindAI by Dawid Skinder,https://findai.dawidskinder.pl,,,,,,,github|prototype|build|public-proof,Outer ring link
080,ds-terraclassic-link,show,ds,ds-wallet-crypto,Wallet and crypto,2,8,001|004|005|047|049|050|051|052|054,link,320,BigBang CEX designed from scratch,Relevant proof,"Designed onboarding, KYC, trading flows, and order-book UX from zero prior CEX experience while learning wallet and trading mechanics in depth.",,,,,,Terra Classic Case Study,https://www.behance.net/gallery/242785097/Terra-Classic-Brand-strategy-website,,,,,,,cex|trading|kyc|onboarding|wallet-mechanics,Outer ring
081,ds-bigbang-cex-link,show,ds,ds-wallet-crypto,Wallet and crypto,2,9,001|004|005|047|049|050|051|052|054,link,320,BigBang CEX designed from scratch,Relevant proof,"Designed onboarding, KYC, trading flows, and order-book UX from zero prior CEX experience while learning wallet and trading mechanics in depth.",,,,,,BigBang CEX Case Study,https://www.behance.net/gallery/143483047/BIGBANG-crypto-exchange-Branding-UXUI-design,,,,,,,cex|trading|kyc|onboarding|wallet-mechanics,Outer ring
082,ds-juris-link,show,ds,ds-security-risk,Security and risk,1,6,002|003|047|049|050|052,link,320,BigBang CEX designed from scratch,Relevant proof,"Designed onboarding, KYC, trading flows, and order-book UX from zero prior CEX experience while learning wallet and trading mechanics in depth.",,,,,,Juris Protocol Case Study,https://www.behance.net/gallery/242541717/Juris-Protocol-Brand-strategy-ProductUXUI-design,,,,,,,cex|trading|kyc|onboarding|wallet-mechanics,Outer ring
083,ds-complexproduct-big,show,ds,ds-complex-products,Complex products,6,5,009|050|054,big-image,664,,,,,,,TOKEN2049 Origins Hackathon Certificate,ds_cardimage_big_2.png,,,,,,,,,,
084,ds-digitalars-img,show,ds,ds-ai-native,AI-native proof,11,6,006|007|047,image,320,FindAI by Dawid Skinder,Proof surface,Code-facing proof that the work is moving beyond static files into AI-assisted build and prototype territory.,,,,"Speaking at ""Art vs AI: Digital Ars” discussion panel",ds_cardimage_1.png,,,,,,,,,github|prototype|build|public-proof,Outer ring link
